,Compactness,S_Surface,S_Wall,S_Roof,Overall_Height,S_Glazing,Heating Load,Cooling Load,Orientation_2,Orientation_3,Orientation_4,Orientation_5,Glass_0,Glass_1,Glass_2,Glass_3,Glass_4,Glass_5
0,0.98,514.5,294.0,110.25,1,0.0,15.55,21.33,1,0,0,0,1,0,0,0,0,0
1,0.98,514.5,294.0,110.25,1,0.0,15.55,21.33,0,1,0,0,1,0,0,0,0,0
2,0.98,514.5,294.0,110.25,1,0.0,15.55,21.33,0,0,1,0,1,0,0,0,0,0
3,0.98,514.5,294.0,110.25,1,0.0,15.55,21.33,0,0,0,1,1,0,0,0,0,0
4,0.9,563.5,318.5,122.5,1,0.0,20.84,28.28,1,0,0,0,1,0,0,0,0,0
5,0.9,563.5,318.5,122.5,1,0.0,21.46,25.38,0,1,0,0,1,0,0,0,0,0
6,0.9,563.5,318.5,122.5,1,0.0,20.71,25.16,0,0,1,0,1,0,0,0,0,0
7,0.9,563.5,318.5,122.5,1,0.0,19.68,29.6,0,0,0,1,1,0,0,0,0,0
8,0.86,588.0,294.0,147.0,1,0.0,19.5,27.3,1,0,0,0,1,0,0,0,0,0
9,0.86,588.0,294.0,147.0,1,0.0,19.95,21.97,0,1,0,0,1,0,0,0,0,0
10,0.86,588.0,294.0,147.0,1,0.0,19.34,23.49,0,0,1,0,1,0,0,0,0,0
11,0.86,588.0,294.0,147.0,1,0.0,18.31,27.87,0,0,0,1,1,0,0,0,0,0
12,0.82,612.5,318.5,147.0,1,0.0,17.05,23.77,1,0,0,0,1,0,0,0,0,0
13,0.82,612.5,318.5,147.0,1,0.0,17.41,21.46,0,1,0,0,1,0,0,0,0,0
14,0.82,612.5,318.5,147.0,1,0.0,16.95,21.16,0,0,1,0,1,0,0,0,0,0
15,0.82,612.5,318.5,147.0,1,0.0,15.98,24.93,0,0,0,1,1,0,0,0,0,0
16,0.79,637.0,343.0,147.0,1,0.0,28.52,37.73,1,0,0,0,1,0,0,0,0,0
17,0.79,637.0,343.0,147.0,1,0.0,29.9,31.27,0,1,0,0,1,0,0,0,0,0
18,0.79,637.0,343.0,147.0,1,0.0,29.63,30.93,0,0,1,0,1,0,0,0,0,0
19,0.79,637.0,343.0,147.0,1,0.0,28.75,39.44,0,0,0,1,1,0,0,0,0,0
20,0.76,661.5,416.5,122.5,1,0.0,24.77,29.79,1,0,0,0,1,0,0,0,0,0
21,0.76,661.5,416.5,122.5,1,0.0,23.93,29.68,0,1,0,0,1,0,0,0,0,0
22,0.76,661.5,416.5,122.5,1,0.0,24.77,29.79,0,0,1,0,1,0,0,0,0,0
23,0.76,661.5,416.5,122.5,1,0.0,23.93,29.4,0,0,0,1,1,0,0,0,0,0
24,0.74,686.0,245.0,220.5,0,0.0,6.07,10.9,1,0,0,0,1,0,0,0,0,0
25,0.74,686.0,245.0,220.5,0,0.0,6.05,11.19,0,1,0,0,1,0,0,0,0,0
26,0.74,686.0,245.0,220.5,0,0.0,6.01,10.94,0,0,1,0,1,0,0,0,0,0
27,0.74,686.0,245.0,220.5,0,0.0,6.04,11.17,0,0,0,1,1,0,0,0,0,0
28,0.71,710.5,269.5,220.5,0,0.0,6.37,11.27,1,0,0,0,1,0,0,0,0,0
29,0.71,710.5,269.5,220.5,0,0.0,6.4,11.72,0,1,0,0,1,0,0,0,0,0
30,0.71,710.5,269.5,220.5,0,0.0,6.37,11.29,0,0,1,0,1,0,0,0,0,0
31,0.71,710.5,269.5,220.5,0,0.0,6.4,11.67,0,0,0,1,1,0,0,0,0,0
32,0.69,735.0,294.0,220.5,0,0.0,6.85,11.74,1,0,0,0,1,0,0,0,0,0
33,0.69,735.0,294.0,220.5,0,0.0,6.79,12.05,0,1,0,0,1,0,0,0,0,0
34,0.69,735.0,294.0,220.5,0,0.0,6.77,11.73,0,0,1,0,1,0,0,0,0,0
35,0.69,735.0,294.0,220.5,0,0.0,6.81,11.93,0,0,0,1,1,0,0,0,0,0
36,0.66,759.5,318.5,220.5,0,0.0,7.18,12.4,1,0,0,0,1,0,0,0,0,0
37,0.66,759.5,318.5,220.5,0,0.0,7.1,12.23,0,1,0,0,1,0,0,0,0,0
38,0.66,759.5,318.5,220.5,0,0.0,7.1,12.4,0,0,1,0,1,0,0,0,0,0
39,0.66,759.5,318.5,220.5,0,0.0,7.1,12.14,0,0,0,1,1,0,0,0,0,0
40,0.64,784.0,343.0,220.5,0,0.0,10.85,16.78,1,0,0,0,1,0,0,0,0,0
41,0.64,784.0,343.0,220.5,0,0.0,10.54,16.8,0,1,0,0,1,0,0,0,0,0
42,0.64,784.0,343.0,220.5,0,0.0,10.77,16.75,0,0,1,0,1,0,0,0,0,0
43,0.64,784.0,343.0,220.5,0,0.0,10.56,16.67,0,0,0,1,1,0,0,0,0,0
44,0.62,808.5,367.5,220.5,0,0.0,8.6,12.07,1,0,0,0,1,0,0,0,0,0
45,0.62,808.5,367.5,220.5,0,0.0,8.49,12.22,0,1,0,0,1,0,0,0,0,0
46,0.62,808.5,367.5,220.5,0,0.0,8.45,12.08,0,0,1,0,1,0,0,0,0,0
47,0.62,808.5,367.5,220.5,0,0.0,8.5,12.04,0,0,0,1,1,0,0,0,0,0
48,0.98,514.5,294.0,110.25,1,0.1,24.58,26.47,1,0,0,0,0,1,0,0,0,0
49,0.98,514.5,294.0,110.25,1,0.1,24.63,26.37,0,1,0,0,0,1,0,0,0,0
50,0.98,514.5,294.0,110.25,1,0.1,24.63,26.44,0,0,1,0,0,1,0,0,0,0
51,0.98,514.5,294.0,110.25,1,0.1,24.59,26.29,0,0,0,1,0,1,0,0,0,0
52,0.9,563.5,318.5,122.5,1,0.1,29.03,32.92,1,0,0,0,0,1,0,0,0,0
53,0.9,563.5,318.5,122.5,1,0.1,29.87,29.87,0,1,0,0,0,1,0,0,0,0
54,0.9,563.5,318.5,122.5,1,0.1,29.14,29.58,0,0,1,0,0,1,0,0,0,0
55,0.9,563.5,318.5,122.5,1,0.1,28.09,34.33,0,0,0,1,0,1,0,0,0,0
56,0.86,588.0,294.0,147.0,1,0.1,26.28,30.89,1,0,0,0,0,1,0,0,0,0
57,0.86,588.0,294.0,147.0,1,0.1,26.91,25.6,0,1,0,0,0,1,0,0,0,0
58,0.86,588.0,294.0,147.0,1,0.1,26.37,27.03,0,0,1,0,0,1,0,0,0,0
59,0.86,588.0,294.0,147.0,1,0.1,25.27,31.73,0,0,0,1,0,1,0,0,0,0
60,0.82,612.5,318.5,147.0,1,0.1,23.53,27.31,1,0,0,0,0,1,0,0,0,0
61,0.82,612.5,318.5,147.0,1,0.1,24.03,24.91,0,1,0,0,0,1,0,0,0,0
62,0.82,612.5,318.5,147.0,1,0.1,23.54,24.61,0,0,1,0,0,1,0,0,0,0
63,0.82,612.5,318.5,147.0,1,0.1,22.58,28.51,0,0,0,1,0,1,0,0,0,0
64,0.79,637.0,343.0,147.0,1,0.1,35.56,41.68,1,0,0,0,0,1,0,0,0,0
65,0.79,637.0,343.0,147.0,1,0.1,37.12,35.28,0,1,0,0,0,1,0,0,0,0
66,0.79,637.0,343.0,147.0,1,0.1,36.9,34.43,0,0,1,0,0,1,0,0,0,0
67,0.79,637.0,343.0,147.0,1,0.1,35.94,43.33,0,0,0,1,0,1,0,0,0,0
68,0.76,661.5,416.5,122.5,1,0.1,32.96,33.87,1,0,0,0,0,1,0,0,0,0
69,0.76,661.5,416.5,122.5,1,0.1,32.12,34.07,0,1,0,0,0,1,0,0,0,0
70,0.76,661.5,416.5,122.5,1,0.1,32.94,34.14,0,0,1,0,0,1,0,0,0,0
71,0.76,661.5,416.5,122.5,1,0.1,32.21,33.67,0,0,0,1,0,1,0,0,0,0
72,0.74,686.0,245.0,220.5,0,0.1,10.36,13.43,1,0,0,0,0,1,0,0,0,0
73,0.74,686.0,245.0,220.5,0,0.1,10.43,13.71,0,1,0,0,0,1,0,0,0,0
74,0.74,686.0,245.0,220.5,0,0.1,10.36,13.48,0,0,1,0,0,1,0,0,0,0
75,0.74,686.0,245.0,220.5,0,0.1,10.39,13.7,0,0,0,1,0,1,0,0,0,0
76,0.71,710.5,269.5,220.5,0,0.1,10.71,13.8,1,0,0,0,0,1,0,0,0,0
77,0.71,710.5,269.5,220.5,0,0.1,10.8,14.28,0,1,0,0,0,1,0,0,0,0
78,0.71,710.5,269.5,220.5,0,0.1,10.7,13.87,0,0,1,0,0,1,0,0,0,0
79,0.71,710.5,269.5,220.5,0,0.1,10.75,14.27,0,0,0,1,0,1,0,0,0,0
80,0.69,735.0,294.0,220.5,0,0.1,11.11,14.28,1,0,0,0,0,1,0,0,0,0
81,0.69,735.0,294.0,220.5,0,0.1,11.13,14.61,0,1,0,0,0,1,0,0,0,0
82,0.69,735.0,294.0,220.5,0,0.1,11.09,14.3,0,0,1,0,0,1,0,0,0,0
83,0.69,735.0,294.0,220.5,0,0.1,11.16,14.45,0,0,0,1,0,1,0,0,0,0
84,0.66,759.5,318.5,220.5,0,0.1,11.68,13.9,1,0,0,0,0,1,0,0,0,0
85,0.66,759.5,318.5,220.5,0,0.1,11.69,13.72,0,1,0,0,0,1,0,0,0,0
86,0.66,759.5,318.5,220.5,0,0.1,11.7,13.88,0,0,1,0,0,1,0,0,0,0
87,0.66,759.5,318.5,220.5,0,0.1,11.69,13.65,0,0,0,1,0,1,0,0,0,0
88,0.64,784.0,343.0,220.5,0,0.1,15.41,19.37,1,0,0,0,0,1,0,0,0,0
89,0.64,784.0,343.0,220.5,0,0.1,15.2,19.43,0,1,0,0,0,1,0,0,0,0
90,0.64,784.0,343.0,220.5,0,0.1,15.42,19.34,0,0,1,0,0,1,0,0,0,0
91,0.64,784.0,343.0,220.5,0,0.1,15.21,19.32,0,0,0,1,0,1,0,0,0,0
92,0.62,808.5,367.5,220.5,0,0.1,12.96,14.34,1,0,0,0,0,1,0,0,0,0
93,0.62,808.5,367.5,220.5,0,0.1,12.97,14.5,0,1,0,0,0,1,0,0,0,0
94,0.62,808.5,367.5,220.5,0,0.1,12.93,14.33,0,0,1,0,0,1,0,0,0,0
95,0.62,808.5,367.5,220.5,0,0.1,13.02,14.27,0,0,0,1,0,1,0,0,0,0
96,0.98,514.5,294.0,110.25,1,0.1,24.29,25.95,1,0,0,0,0,0,1,0,0,0
97,0.98,514.5,294.0,110.25,1,0.1,24.31,25.63,0,1,0,0,0,0,1,0,0,0
98,0.98,514.5,294.0,110.25,1,0.1,24.13,26.13,0,0,1,0,0,0,1,0,0,0
99,0.98,514.5,294.0,110.25,1,0.1,24.25,25.89,0,0,0,1,0,0,1,0,0,0
100,0.9,563.5,318.5,122.5,1,0.1,28.88,32.54,1,0,0,0,0,0,1,0,0,0
101,0.9,563.5,318.5,122.5,1,0.1,29.68,29.44,0,1,0,0,0,0,1,0,0,0
102,0.9,563.5,318.5,122.5,1,0.1,28.83,29.36,0,0,1,0,0,0,1,0,0,0
103,0.9,563.5,318.5,122.5,1,0.1,27.9,34.2,0,0,0,1,0,0,1,0,0,0
104,0.86,588.0,294.0,147.0,1,0.1,26.48,30.91,1,0,0,0,0,0,1,0,0,0
105,0.86,588.0,294.0,147.0,1,0.1,27.02,25.63,0,1,0,0,0,0,1,0,0,0
106,0.86,588.0,294.0,147.0,1,0.1,26.33,27.36,0,0,1,0,0,0,1,0,0,0
107,0.86,588.0,294.0,147.0,1,0.1,25.36,31.9,0,0,0,1,0,0,1,0,0,0
108,0.82,612.5,318.5,147.0,1,0.1,23.75,27.38,1,0,0,0,0,0,1,0,0,0
109,0.82,612.5,318.5,147.0,1,0.1,24.23,25.02,0,1,0,0,0,0,1,0,0,0
110,0.82,612.5,318.5,147.0,1,0.1,23.67,24.8,0,0,1,0,0,0,1,0,0,0
111,0.82,612.5,318.5,147.0,1,0.1,22.79,28.79,0,0,0,1,0,0,1,0,0,0
112,0.79,637.0,343.0,147.0,1,0.1,35.65,41.07,1,0,0,0,0,0,1,0,0,0
113,0.79,637.0,343.0,147.0,1,0.1,37.26,34.62,0,1,0,0,0,0,1,0,0,0
114,0.79,637.0,343.0,147.0,1,0.1,36.97,33.87,0,0,1,0,0,0,1,0,0,0
115,0.79,637.0,343.0,147.0,1,0.1,36.03,42.86,0,0,0,1,0,0,1,0,0,0
116,0.76,661.5,416.5,122.5,1,0.1,33.16,33.91,1,0,0,0,0,0,1,0,0,0
117,0.76,661.5,416.5,122.5,1,0.1,32.4,34.07,0,1,0,0,0,0,1,0,0,0
118,0.76,661.5,416.5,122.5,1,0.1,33.12,34.17,0,0,1,0,0,0,1,0,0,0
119,0.76,661.5,416.5,122.5,1,0.1,32.41,33.78,0,0,0,1,0,0,1,0,0,0
120,0.74,686.0,245.0,220.5,0,0.1,10.42,13.39,1,0,0,0,0,0,1,0,0,0
121,0.74,686.0,245.0,220.5,0,0.1,10.46,13.72,0,1,0,0,0,0,1,0,0,0
122,0.74,686.0,245.0,220.5,0,0.1,10.32,13.57,0,0,1,0,0,0,1,0,0,0
123,0.74,686.0,245.0,220.5,0,0.1,10.45,13.79,0,0,0,1,0,0,1,0,0,0
124,0.71,710.5,269.5,220.5,0,0.1,10.64,13.67,1,0,0,0,0,0,1,0,0,0
125,0.71,710.5,269.5,220.5,0,0.1,10.72,14.11,0,1,0,0,0,0,1,0,0,0
126,0.71,710.5,269.5,220.5,0,0.1,10.55,13.8,0,0,1,0,0,0,1,0,0,0
127,0.71,710.5,269.5,220.5,0,0.1,10.68,14.21,0,0,0,1,0,0,1,0,0,0
128,0.69,735.0,294.0,220.5,0,0.1,11.45,13.2,1,0,0,0,0,0,1,0,0,0
129,0.69,735.0,294.0,220.5,0,0.1,11.46,13.54,0,1,0,0,0,0,1,0,0,0
130,0.69,735.0,294.0,220.5,0,0.1,11.32,13.32,0,0,1,0,0,0,1,0,0,0
131,0.69,735.0,294.0,220.5,0,0.1,11.49,13.51,0,0,0,1,0,0,1,0,0,0
132,0.66,759.5,318.5,220.5,0,0.1,11.45,14.86,1,0,0,0,0,0,1,0,0,0
133,0.66,759.5,318.5,220.5,0,0.1,11.42,14.75,0,1,0,0,0,0,1,0,0,0
134,0.66,759.5,318.5,220.5,0,0.1,11.33,15.0,0,0,1,0,0,0,1,0,0,0
135,0.66,759.5,318.5,220.5,0,0.1,11.43,14.74,0,0,0,1,0,0,1,0,0,0
136,0.64,784.0,343.0,220.5,0,0.1,15.41,19.23,1,0,0,0,0,0,1,0,0,0
137,0.64,784.0,343.0,220.5,0,0.1,15.18,19.34,0,1,0,0,0,0,1,0,0,0
138,0.64,784.0,343.0,220.5,0,0.1,15.34,19.32,0,0,1,0,0,0,1,0,0,0
139,0.64,784.0,343.0,220.5,0,0.1,15.19,19.3,0,0,0,1,0,0,1,0,0,0
140,0.62,808.5,367.5,220.5,0,0.1,12.88,14.37,1,0,0,0,0,0,1,0,0,0
141,0.62,808.5,367.5,220.5,0,0.1,13.0,14.57,0,1,0,0,0,0,1,0,0,0
142,0.62,808.5,367.5,220.5,0,0.1,12.97,14.27,0,0,1,0,0,0,1,0,0,0
143,0.62,808.5,367.5,220.5,0,0.1,13.04,14.24,0,0,0,1,0,0,1,0,0,0
144,0.98,514.5,294.0,110.25,1,0.1,24.28,25.68,1,0,0,0,0,0,0,1,0,0
145,0.98,514.5,294.0,110.25,1,0.1,24.4,26.02,0,1,0,0,0,0,0,1,0,0
146,0.98,514.5,294.0,110.25,1,0.1,24.11,25.84,0,0,1,0,0,0,0,1,0,0
147,0.98,514.5,294.0,110.25,1,0.1,24.35,26.14,0,0,0,1,0,0,0,1,0,0
148,0.9,563.5,318.5,122.5,1,0.1,28.07,34.14,1,0,0,0,0,0,0,1,0,0
149,0.9,563.5,318.5,122.5,1,0.1,29.01,32.85,0,1,0,0,0,0,0,1,0,0
150,0.9,563.5,318.5,122.5,1,0.1,29.62,30.08,0,0,1,0,0,0,0,1,0,0
151,0.9,563.5,318.5,122.5,1,0.1,29.05,29.67,0,0,0,1,0,0,0,1,0,0
152,0.86,588.0,294.0,147.0,1,0.1,25.41,31.73,1,0,0,0,0,0,0,1,0,0
153,0.86,588.0,294.0,147.0,1,0.1,26.47,31.01,0,1,0,0,0,0,0,1,0,0
154,0.86,588.0,294.0,147.0,1,0.1,26.89,25.9,0,0,1,0,0,0,0,1,0,0
155,0.86,588.0,294.0,147.0,1,0.1,26.46,27.4,0,0,0,1,0,0,0,1,0,0
156,0.82,612.5,318.5,147.0,1,0.1,22.93,28.68,1,0,0,0,0,0,0,1,0,0
157,0.82,612.5,318.5,147.0,1,0.1,23.84,27.54,0,1,0,0,0,0,0,1,0,0
158,0.82,612.5,318.5,147.0,1,0.1,24.17,25.35,0,0,1,0,0,0,0,1,0,0
159,0.82,612.5,318.5,147.0,1,0.1,23.87,24.93,0,0,0,1,0,0,0,1,0,0
160,0.79,637.0,343.0,147.0,1,0.1,35.78,43.12,1,0,0,0,0,0,0,1,0,0
161,0.79,637.0,343.0,147.0,1,0.1,35.48,41.22,0,1,0,0,0,0,0,1,0,0
162,0.79,637.0,343.0,147.0,1,0.1,36.97,35.1,0,0,1,0,0,0,0,1,0,0
163,0.79,637.0,343.0,147.0,1,0.1,36.7,34.29,0,0,0,1,0,0,0,1,0,0
164,0.76,661.5,416.5,122.5,1,0.1,32.52,33.85,1,0,0,0,0,0,0,1,0,0
165,0.76,661.5,416.5,122.5,1,0.1,33.28,34.11,0,1,0,0,0,0,0,1,0,0
166,0.76,661.5,416.5,122.5,1,0.1,32.33,34.48,0,0,1,0,0,0,0,1,0,0
167,0.76,661.5,416.5,122.5,1,0.1,33.24,34.5,0,0,0,1,0,0,0,1,0,0
168,0.74,686.0,245.0,220.5,0,0.1,10.39,13.6,1,0,0,0,0,0,0,1,0,0
169,0.74,686.0,245.0,220.5,0,0.1,10.34,13.36,0,1,0,0,0,0,0,1,0,0
170,0.74,686.0,245.0,220.5,0,0.1,10.35,13.65,0,0,1,0,0,0,0,1,0,0
171,0.74,686.0,245.0,220.5,0,0.1,10.38,13.49,0,0,0,1,0,0,0,1,0,0
172,0.71,710.5,269.5,220.5,0,0.1,10.77,14.14,1,0,0,0,0,0,0,1,0,0
173,0.71,710.5,269.5,220.5,0,0.1,10.68,13.77,0,1,0,0,0,0,0,1,0,0
174,0.71,710.5,269.5,220.5,0,0.1,10.68,14.3,0,0,1,0,0,0,0,1,0,0
175,0.71,710.5,269.5,220.5,0,0.1,10.7,13.87,0,0,0,1,0,0,0,1,0,0
176,0.69,735.0,294.0,220.5,0,0.1,11.22,14.44,1,0,0,0,0,0,0,1,0,0
177,0.69,735.0,294.0,220.5,0,0.1,11.16,14.27,0,1,0,0,0,0,0,1,0,0
178,0.69,735.0,294.0,220.5,0,0.1,11.1,14.67,0,0,1,0,0,0,0,1,0,0
179,0.69,735.0,294.0,220.5,0,0.1,11.14,14.4,0,0,0,1,0,0,0,1,0,0
180,0.66,759.5,318.5,220.5,0,0.1,11.59,13.46,1,0,0,0,0,0,0,1,0,0
181,0.66,759.5,318.5,220.5,0,0.1,11.6,13.7,0,1,0,0,0,0,0,1,0,0
182,0.66,759.5,318.5,220.5,0,0.1,11.53,13.59,0,0,1,0,0,0,0,1,0,0
183,0.66,759.5,318.5,220.5,0,0.1,11.61,13.83,0,0,0,1,0,0,0,1,0,0
184,0.64,784.0,343.0,220.5,0,0.1,15.16,19.14,1,0,0,0,0,0,0,1,0,0
185,0.64,784.0,343.0,220.5,0,0.1,15.36,19.18,0,1,0,0,0,0,0,1,0,0
186,0.64,784.0,343.0,220.5,0,0.1,15.12,19.37,0,0,1,0,0,0,0,1,0,0
187,0.64,784.0,343.0,220.5,0,0.1,15.36,19.29,0,0,0,1,0,0,0,1,0,0
188,0.62,808.5,367.5,220.5,0,0.1,12.68,14.09,1,0,0,0,0,0,0,1,0,0
189,0.62,808.5,367.5,220.5,0,0.1,12.63,14.23,0,1,0,0,0,0,0,1,0,0
190,0.62,808.5,367.5,220.5,0,0.1,12.71,14.14,0,0,1,0,0,0,0,1,0,0
191,0.62,808.5,367.5,220.5,0,0.1,12.73,13.89,0,0,0,1,0,0,0,1,0,0
