,Channel,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Region_Lisbon,Region_Oporto,Other Region
0,1,12669,9656,7561,214,2674,1338,0,0,1
1,1,7057,9810,9568,1762,3293,1776,0,0,1
2,1,6353,8808,7684,2405,3516,7844,0,0,1
3,0,13265,1196,4221,6404,507,1788,0,0,1
4,1,22615,5410,7198,3915,1777,5185,0,0,1
5,1,9413,8259,5126,666,1795,1451,0,0,1
6,1,12126,3199,6975,480,3140,545,0,0,1
7,1,7579,4956,9426,1669,3321,2566,0,0,1
8,0,5963,3648,6192,425,1716,750,0,0,1
9,1,6006,11093,18881,1159,7425,2098,0,0,1
10,1,3366,5403,12974,4400,5977,1744,0,0,1
11,1,13146,1124,4523,1420,549,497,0,0,1
12,1,31714,12319,11757,287,3881,2931,0,0,1
13,1,21217,6208,14982,3095,6707,602,0,0,1
14,1,24653,9465,12091,294,5058,2168,0,0,1
15,0,10253,1114,3821,397,964,412,0,0,1
16,1,1020,8816,12121,134,4508,1080,0,0,1
17,0,5876,6157,2933,839,370,4478,0,0,1
18,1,18601,6327,10099,2205,2767,3181,0,0,1
19,0,7780,2495,9464,669,2518,501,0,0,1
20,1,17546,4519,4602,1066,2259,2124,0,0,1
21,0,5567,871,2010,3383,375,569,0,0,1
22,0,31276,1917,4469,9408,2381,4334,0,0,1
23,1,26373,36423,22019,5154,4337,16523,0,0,1
24,1,22647,9776,13792,2915,4482,5778,0,0,1
25,1,16165,4230,7595,201,4003,57,0,0,1
26,0,9898,961,2861,3151,242,833,0,0,1
27,0,14276,803,3045,485,100,518,0,0,1
28,1,4113,20484,25957,1158,8604,5206,0,0,1
29,0,43088,2100,2609,1200,1107,823,0,0,1
30,0,18815,3610,11107,1148,2134,2963,0,0,1
31,0,2612,4339,3133,2088,820,985,0,0,1
32,0,21632,1318,2886,266,918,405,0,0,1
33,0,29729,4786,7326,6130,361,1083,0,0,1
34,0,1502,1979,2262,425,483,395,0,0,1
35,1,688,5491,11091,833,4239,436,0,0,1
36,0,29955,4362,5428,1729,862,4626,0,0,1
37,1,15168,10556,12477,1920,6506,714,0,0,1
38,1,4591,15729,16709,33,6956,433,0,0,1
39,0,56159,555,902,10002,212,2916,0,0,1
40,0,24025,4332,4757,9510,1145,5864,0,0,1
41,0,19176,3065,5956,2033,2575,2802,0,0,1
42,1,10850,7555,14961,188,6899,46,0,0,1
43,1,630,11095,23998,787,9529,72,0,0,1
44,1,9670,7027,10471,541,4618,65,0,0,1
45,1,5181,22044,21531,1740,7353,4985,0,0,1
46,1,3103,14069,21955,1668,6792,1452,0,0,1
47,1,44466,54259,55571,7782,24171,6465,0,0,1
48,1,11519,6152,10868,584,5121,1476,0,0,1
49,1,4967,21412,28921,1798,13583,1163,0,0,1
50,0,6269,1095,1980,3860,609,2162,0,0,1
51,0,3347,4051,6996,239,1538,301,0,0,1
52,1,40721,3916,5876,532,2587,1278,0,0,1
53,1,491,10473,11532,744,5611,224,0,0,1
54,0,27329,1449,1947,2436,204,1333,0,0,1
55,0,5264,3683,5005,1057,2024,1130,0,0,1
56,1,4098,29892,26866,2616,17740,1340,0,0,1
57,1,5417,9933,10487,38,7572,1282,0,0,1
58,0,13779,1970,1648,596,227,436,0,0,1
59,0,6137,5360,8040,129,3084,1603,0,0,1
60,1,8590,3045,7854,96,4095,225,0,0,1
61,1,35942,38369,59598,3254,26701,2017,0,0,1
62,1,7823,6245,6544,4154,4074,964,0,0,1
63,1,9396,11601,15775,2896,7677,1295,0,0,1
64,0,4760,1227,3250,3724,1247,1145,0,0,1
65,1,85,20959,45828,36,24231,1423,0,0,1
66,0,9,1534,7417,175,3468,27,0,0,1
67,1,19913,6759,13462,1256,5141,834,0,0,1
68,0,2446,7260,3993,5870,788,3095,0,0,1
69,0,8352,2820,1293,779,656,144,0,0,1
70,0,16705,2037,3202,10643,116,1365,0,0,1
71,0,18291,1266,21042,5373,4173,14472,0,0,1
72,0,4420,5139,2661,8872,1321,181,0,0,1
73,1,19899,5332,8713,8132,764,648,0,0,1
74,1,8190,6343,9794,1285,1901,1780,0,0,1
75,0,20398,1137,3,4407,3,975,0,0,1
76,0,717,3587,6532,7530,529,894,0,0,1
77,1,12205,12697,28540,869,12034,1009,0,0,1
78,0,10766,1175,2067,2096,301,167,0,0,1
79,0,1640,3259,3655,868,1202,1653,0,0,1
80,0,7005,829,3009,430,610,529,0,0,1
81,1,219,9540,14403,283,7818,156,0,0,1
82,1,10362,9232,11009,737,3537,2342,0,0,1
83,0,20874,1563,1783,2320,550,772,0,0,1
84,1,11867,3327,4814,1178,3837,120,0,0,1
85,1,16117,46197,92780,1026,40827,2944,0,0,1
86,1,22925,73498,32114,987,20070,903,0,0,1
87,0,43265,5025,8117,6312,1579,14351,0,0,1
88,0,7864,542,4042,9735,165,46,0,0,1
89,0,24904,3836,5330,3443,454,3178,0,0,1
90,0,11405,596,1638,3347,69,360,0,0,1
91,0,12754,2762,2530,8693,627,1117,0,0,1
92,1,9198,27472,32034,3232,18906,5130,0,0,1
93,0,11314,3090,2062,35009,71,2698,0,0,1
94,1,5626,12220,11323,206,5038,244,0,0,1
95,0,3,2920,6252,440,223,709,0,0,1
96,1,23,2616,8118,145,3874,217,0,0,1
97,0,403,254,610,774,54,63,0,0,1
98,0,503,112,778,895,56,132,0,0,1
99,0,9658,2182,1909,5639,215,323,0,0,1
100,1,11594,7779,12144,3252,8035,3029,0,0,1
101,1,1420,10810,16267,1593,6766,1838,0,0,1
102,1,2932,6459,7677,2561,4573,1386,0,0,1
103,0,56082,3504,8906,18028,1480,2498,0,0,1
104,0,14100,2132,3445,1336,1491,548,0,0,1
105,0,15587,1014,3970,910,139,1378,0,0,1
106,1,1454,6337,10704,133,6830,1831,0,0,1
107,1,8797,10646,14886,2471,8969,1438,0,0,1
108,1,1531,8397,6981,247,2505,1236,0,0,1
109,1,1406,16729,28986,673,836,3,0,0,1
110,0,11818,1648,1694,2276,169,1647,0,0,1
111,1,12579,11114,17569,805,6457,1519,0,0,1
112,0,19046,2770,2469,8853,483,2708,0,0,1
113,0,14438,2295,1733,3220,585,1561,0,0,1
114,0,18044,1080,2000,2555,118,1266,0,0,1
115,0,11134,793,2988,2715,276,610,0,0,1
116,0,11173,2521,3355,1517,310,222,0,0,1
117,0,6990,3880,5380,1647,319,1160,0,0,1
118,0,20049,1891,2362,5343,411,933,0,0,1
119,0,8258,2344,2147,3896,266,635,0,0,1
120,0,17160,1200,3412,2417,174,1136,0,0,1
121,0,4020,3234,1498,2395,264,255,0,0,1
122,0,12212,201,245,1991,25,860,0,0,1
123,1,11170,10769,8814,2194,1976,143,0,0,1
124,0,36050,1642,2961,4787,500,1621,0,0,1
125,0,76237,3473,7102,16538,778,918,0,0,1
126,0,19219,1840,1658,8195,349,483,0,0,1
127,1,21465,7243,10685,880,2386,2749,0,0,1
128,0,140,8847,3823,142,1062,3,0,0,1
129,0,42312,926,1510,1718,410,1819,0,0,1
130,0,7149,2428,699,6316,395,911,0,0,1
131,0,2101,589,314,346,70,310,0,0,1
132,0,14903,2032,2479,576,955,328,0,0,1
133,0,9434,1042,1235,436,256,396,0,0,1
134,0,7388,1882,2174,720,47,537,0,0,1
135,0,6300,1289,2591,1170,199,326,0,0,1
136,0,4625,8579,7030,4575,2447,1542,0,0,1
137,0,3087,8080,8282,661,721,36,0,0,1
138,0,13537,4257,5034,155,249,3271,0,0,1
139,0,5387,4979,3343,825,637,929,0,0,1
140,0,17623,4280,7305,2279,960,2616,0,0,1
141,0,30379,13252,5189,321,51,1450,0,0,1
142,0,37036,7152,8253,2995,20,3,0,0,1
143,0,10405,1596,1096,8425,399,318,0,0,1
144,0,18827,3677,1988,118,516,201,0,0,1
145,1,22039,8384,34792,42,12591,4430,0,0,1
146,0,7769,1936,2177,926,73,520,0,0,1
147,0,9203,3373,2707,1286,1082,526,0,0,1
148,0,5924,584,542,4052,283,434,0,0,1
149,0,31812,1433,1651,800,113,1440,0,0,1
150,0,16225,1825,1765,853,170,1067,0,0,1
151,0,1289,3328,2022,531,255,1774,0,0,1
152,0,18840,1371,3135,3001,352,184,0,0,1
153,0,3463,9250,2368,779,302,1627,0,0,1
154,0,622,55,137,75,7,8,0,0,1
155,1,1989,10690,19460,233,11577,2153,0,0,1
156,1,3830,5291,14855,317,6694,3182,0,0,1
157,0,17773,1366,2474,3378,811,418,0,0,1
158,1,2861,6570,9618,930,4004,1682,0,0,1
159,1,355,7704,14682,398,8077,303,0,0,1
160,1,1725,3651,12822,824,4424,2157,0,0,1
161,0,12434,540,283,1092,3,2233,0,0,1
162,0,15177,2024,3810,2665,232,610,0,0,1
163,1,5531,15726,26870,2367,13726,446,0,0,1
164,1,5224,7603,8584,2540,3674,238,0,0,1
165,1,15615,12653,19858,4425,7108,2379,0,0,1
166,1,4822,6721,9170,993,4973,3637,0,0,1
167,0,2926,3195,3268,405,1680,693,0,0,1
168,0,5809,735,803,1393,79,429,0,0,1
169,0,5414,717,2155,2399,69,750,0,0,1
170,1,260,8675,13430,1116,7015,323,0,0,1
171,1,200,25862,19816,651,8773,6250,0,0,1
172,0,955,5479,6536,333,2840,707,0,0,1
173,1,514,7677,19805,937,9836,716,0,0,1
174,0,286,1208,5241,2515,153,1442,0,0,1
175,1,2343,7845,11874,52,4196,1697,0,0,1
176,0,45640,6958,6536,7368,1532,230,0,0,1
177,0,12759,7330,4533,1752,20,2631,0,0,1
178,0,11002,7075,4945,1152,120,395,0,0,1
179,0,3157,4888,2500,4477,273,2165,0,0,1
180,0,12356,6036,8887,402,1382,2794,0,0,1
181,0,112151,29627,18148,16745,4948,8550,0,0,1
182,0,694,8533,10518,443,6907,156,0,0,1
183,0,36847,43950,20170,36534,239,47943,0,0,1
184,0,327,918,4710,74,334,11,0,0,1
185,0,8170,6448,1139,2181,58,247,0,0,1
186,0,3009,521,854,3470,949,727,0,0,1
187,0,2438,8002,9819,6269,3459,3,0,0,1
188,1,8040,7639,11687,2758,6839,404,0,0,1
189,1,834,11577,11522,275,4027,1856,0,0,1
190,0,16936,6250,1981,7332,118,64,0,0,1
191,0,13624,295,1381,890,43,84,0,0,1
192,0,5509,1461,2251,547,187,409,0,0,1
193,1,180,3485,20292,959,5618,666,0,0,1
194,0,7107,1012,2974,806,355,1142,0,0,1
195,0,17023,5139,5230,7888,330,1755,0,0,1
196,0,30624,7209,4897,18711,763,2876,1,0,0
197,1,2427,7097,10391,1127,4314,1468,1,0,0
198,0,11686,2154,6824,3527,592,697,1,0,0
199,0,9670,2280,2112,520,402,347,1,0,0
200,1,3067,13240,23127,3941,9959,731,1,0,0
201,1,4484,14399,24708,3549,14235,1681,1,0,0
202,0,25203,11487,9490,5065,284,6854,1,0,0
203,0,583,685,2216,469,954,18,1,0,0
204,0,1956,891,5226,1383,5,1328,1,0,0
205,1,1107,11711,23596,955,9265,710,1,0,0
206,0,6373,780,950,878,288,285,1,0,0
207,1,2541,4737,6089,2946,5316,120,1,0,0
208,0,1537,3748,5838,1859,3381,806,1,0,0
209,1,5550,12729,16767,864,12420,797,1,0,0
210,0,18567,1895,1393,1801,244,2100,1,0,0
211,1,12119,28326,39694,4736,19410,2870,1,0,0
212,0,7291,1012,2062,1291,240,1775,1,0,0
213,0,3317,6602,6861,1329,3961,1215,1,0,0
214,1,2362,6551,11364,913,5957,791,1,0,0
215,0,2806,10765,15538,1374,5828,2388,1,0,0
216,1,2532,16599,36486,179,13308,674,1,0,0
217,0,18044,1475,2046,2532,130,1158,1,0,0
218,1,18,7504,15205,1285,4797,6372,1,0,0
219,0,4155,367,1390,2306,86,130,1,0,0
220,0,14755,899,1382,1765,56,749,1,0,0
221,0,5396,7503,10646,91,4167,239,1,0,0
222,0,5041,1115,2856,7496,256,375,1,0,0
223,1,2790,2527,5265,5612,788,1360,1,0,0
224,0,7274,659,1499,784,70,659,1,0,0
225,0,12680,3243,4157,660,761,786,1,0,0
226,1,20782,5921,9212,1759,2568,1553,1,0,0
227,0,4042,2204,1563,2286,263,689,1,0,0
228,0,1869,577,572,950,4762,203,1,0,0
229,0,8656,2746,2501,6845,694,980,1,0,0
230,1,11072,5989,5615,8321,955,2137,1,0,0
231,0,2344,10678,3828,1439,1566,490,1,0,0
232,0,25962,1780,3838,638,284,834,1,0,0
233,0,964,4984,3316,937,409,7,1,0,0
234,0,15603,2703,3833,4260,325,2563,1,0,0
235,0,1838,6380,2824,1218,1216,295,1,0,0
236,0,8635,820,3047,2312,415,225,1,0,0
237,0,18692,3838,593,4634,28,1215,1,0,0
238,0,7363,475,585,1112,72,216,1,0,0
239,0,47493,2567,3779,5243,828,2253,1,0,0
240,0,22096,3575,7041,11422,343,2564,1,0,0
241,0,24929,1801,2475,2216,412,1047,1,0,0
242,0,18226,659,2914,3752,586,578,1,0,0
243,0,11210,3576,5119,561,1682,2398,1,0,0
244,0,6202,7775,10817,1183,3143,1970,1,0,0
245,1,3062,6154,13916,230,8933,2784,1,0,0
246,0,8885,2428,1777,1777,430,610,1,0,0
247,0,13569,346,489,2077,44,659,1,0,0
248,0,15671,5279,2406,559,562,572,1,0,0
249,0,8040,3795,2070,6340,918,291,1,0,0
250,0,3191,1993,1799,1730,234,710,1,0,0
251,1,6134,23133,33586,6746,18594,5121,1,0,0
252,0,6623,1860,4740,7683,205,1693,1,0,0
253,0,29526,7961,16966,432,363,1391,1,0,0
254,0,10379,17972,4748,4686,1547,3265,1,0,0
255,0,31614,489,1495,3242,111,615,1,0,0
256,0,11092,5008,5249,453,392,373,1,0,0
257,0,8475,1931,1883,5004,3593,987,1,0,0
258,0,56083,4563,2124,6422,730,3321,1,0,0
259,0,53205,4959,7336,3012,967,818,1,0,0
260,0,9193,4885,2157,327,780,548,1,0,0
261,0,7858,1110,1094,6818,49,287,1,0,0
262,0,23257,1372,1677,982,429,655,1,0,0
263,0,2153,1115,6684,4324,2894,411,1,0,0
264,1,1073,9679,15445,61,5980,1265,1,0,0
265,0,5909,23527,13699,10155,830,3636,1,0,0
266,1,572,9763,22182,2221,4882,2563,1,0,0
267,0,20893,1222,2576,3975,737,3628,1,0,0
268,1,11908,8053,19847,1069,6374,698,1,0,0
269,0,15218,258,1138,2516,333,204,1,0,0
270,0,4720,1032,975,5500,197,56,1,0,0
271,0,2083,5007,1563,1120,147,1550,1,0,0
272,0,514,8323,6869,529,93,1040,1,0,0
273,0,36817,3045,1493,4802,210,1824,0,0,1
274,0,894,1703,1841,744,759,1153,0,0,1
275,0,680,1610,223,862,96,379,0,0,1
276,0,27901,3749,6964,4479,603,2503,0,0,1
277,0,9061,829,683,16919,621,139,0,0,1
278,0,11693,2317,2543,5845,274,1409,0,0,1
279,1,17360,6200,9694,1293,3620,1721,0,0,1
280,0,3366,2884,2431,977,167,1104,0,0,1
281,1,12238,7108,6235,1093,2328,2079,0,0,1
282,0,49063,3965,4252,5970,1041,1404,0,0,1
283,0,25767,3613,2013,10303,314,1384,0,0,1
284,0,68951,4411,12609,8692,751,2406,0,0,1
285,0,40254,640,3600,1042,436,18,0,0,1
286,0,7149,2247,1242,1619,1226,128,0,0,1
287,0,15354,2102,2828,8366,386,1027,0,0,1
288,0,16260,594,1296,848,445,258,0,0,1
289,0,42786,286,471,1388,32,22,0,0,1
290,0,2708,2160,2642,502,965,1522,0,0,1
291,0,6022,3354,3261,2507,212,686,0,0,1
292,0,2838,3086,4329,3838,825,1060,0,0,1
293,1,3996,11103,12469,902,5952,741,0,1,0
294,0,21273,2013,6550,909,811,1854,0,1,0
295,1,7588,1897,5234,417,2208,254,0,1,0
296,0,19087,1304,3643,3045,710,898,0,1,0
297,1,8090,3199,6986,1455,3712,531,0,1,0
298,1,6758,4560,9965,934,4538,1037,0,1,0
299,0,444,879,2060,264,290,259,0,1,0
300,1,16448,6243,6360,824,2662,2005,0,1,0
301,1,5283,13316,20399,1809,8752,172,0,1,0
302,1,2886,5302,9785,364,6236,555,0,1,0
303,1,2599,3688,13829,492,10069,59,0,1,0
304,1,161,7460,24773,617,11783,2410,0,1,0
305,1,243,12939,8852,799,3909,211,0,1,0
306,1,6468,12867,21570,1840,7558,1543,0,1,0
307,0,17327,2374,2842,1149,351,925,0,1,0
308,0,6987,1020,3007,416,257,656,0,1,0
309,1,918,20655,13567,1465,6846,806,0,1,0
310,0,7034,1492,2405,12569,299,1117,0,1,0
311,0,29635,2335,8280,3046,371,117,0,1,0
312,1,2137,3737,19172,1274,17120,142,0,1,0
313,0,9784,925,2405,4447,183,297,0,1,0
314,0,10617,1795,7647,1483,857,1233,0,1,0
315,1,1479,14982,11924,662,3891,3508,0,1,0
316,0,7127,1375,2201,2679,83,1059,0,1,0
317,0,1182,3088,6114,978,821,1637,0,1,0
318,0,11800,2713,3558,2121,706,51,0,1,0
319,1,9759,25071,17645,1128,12408,1625,0,1,0
320,0,1774,3696,2280,514,275,834,0,1,0
321,0,9155,1897,5167,2714,228,1113,0,1,0
322,0,15881,713,3315,3703,1470,229,0,1,0
323,0,13360,944,11593,915,1679,573,0,1,0
324,0,25977,3587,2464,2369,140,1092,0,1,0
325,0,32717,16784,13626,60869,1272,5609,0,1,0
326,0,4414,1610,1431,3498,387,834,0,1,0
327,0,542,899,1664,414,88,522,0,1,0
328,0,16933,2209,3389,7849,210,1534,0,1,0
329,0,5113,1486,4583,5127,492,739,0,1,0
330,0,9790,1786,5109,3570,182,1043,0,1,0
331,1,11223,14881,26839,1234,9606,1102,0,1,0
332,0,22321,3216,1447,2208,178,2602,0,1,0
333,1,8565,4980,67298,131,38102,1215,0,1,0
334,1,16823,928,2743,11559,332,3486,0,1,0
335,1,27082,6817,10790,1365,4111,2139,0,1,0
336,0,13970,1511,1330,650,146,778,0,1,0
337,0,9351,1347,2611,8170,442,868,0,1,0
338,0,3,333,7021,15601,15,550,0,1,0
339,0,2617,1188,5332,9584,573,1942,0,1,0
340,1,381,4025,9670,388,7271,1371,0,0,1
341,1,2320,5763,11238,767,5162,2158,0,0,1
342,0,255,5758,5923,349,4595,1328,0,0,1
343,1,1689,6964,26316,1456,15469,37,0,0,1
344,0,3043,1172,1763,2234,217,379,0,0,1
345,0,1198,2602,8335,402,3843,303,0,0,1
346,1,2771,6939,15541,2693,6600,1115,0,0,1
347,1,27380,7184,12311,2809,4621,1022,0,0,1
348,0,3428,2380,2028,1341,1184,665,0,0,1
349,1,5981,14641,20521,2005,12218,445,0,0,1
350,0,3521,1099,1997,1796,173,995,0,0,1
351,1,1210,10044,22294,1741,12638,3137,0,0,1
352,0,608,1106,1533,830,90,195,0,0,1
353,1,117,6264,21203,228,8682,1111,0,0,1
354,0,14039,7393,2548,6386,1333,2341,0,0,1
355,0,190,727,2012,245,184,127,0,0,1
356,0,22686,134,218,3157,9,548,0,0,1
357,1,37,1275,22272,137,6747,110,0,0,1
358,0,759,18664,1660,6114,536,4100,0,0,1
359,0,796,5878,2109,340,232,776,0,0,1
360,0,19746,2872,2006,2601,468,503,0,0,1
361,0,4734,607,864,1206,159,405,0,0,1
362,0,2121,1601,2453,560,179,712,0,0,1
363,0,4627,997,4438,191,1335,314,0,0,1
364,0,2615,873,1524,1103,514,468,0,0,1
365,1,4692,6128,8025,1619,4515,3105,0,0,1
366,0,9561,2217,1664,1173,222,447,0,0,1
367,0,3477,894,534,1457,252,342,0,0,1
368,0,22335,1196,2406,2046,101,558,0,0,1
369,0,6211,337,683,1089,41,296,0,0,1
370,1,39679,3944,4955,1364,523,2235,0,0,1
371,0,20105,1887,1939,8164,716,790,0,0,1
372,0,3884,3801,1641,876,397,4829,0,0,1
373,1,15076,6257,7398,1504,1916,3113,0,0,1
374,0,6338,2256,1668,1492,311,686,0,0,1
375,0,5841,1450,1162,597,476,70,0,0,1
376,1,3136,8630,13586,5641,4666,1426,0,0,1
377,0,38793,3154,2648,1034,96,1242,0,0,1
378,0,3225,3294,1902,282,68,1114,0,0,1
379,1,4048,5164,10391,130,813,179,0,0,1
380,0,28257,944,2146,3881,600,270,0,0,1
381,0,17770,4591,1617,9927,246,532,0,0,1
382,0,34454,7435,8469,2540,1711,2893,0,0,1
383,0,1821,1364,3450,4006,397,361,0,0,1
384,0,10683,21858,15400,3635,282,5120,0,0,1
385,0,11635,922,1614,2583,192,1068,0,0,1
386,0,1206,3620,2857,1945,353,967,0,0,1
387,0,20918,1916,1573,1960,231,961,0,0,1
388,0,9785,848,1172,1677,200,406,0,0,1
389,0,9385,1530,1422,3019,227,684,0,0,1
390,0,3352,1181,1328,5502,311,1000,0,0,1
391,0,2647,2761,2313,907,95,1827,0,0,1
392,0,518,4180,3600,659,122,654,0,0,1
393,0,23632,6730,3842,8620,385,819,0,0,1
394,0,12377,865,3204,1398,149,452,0,0,1
395,0,9602,1316,1263,2921,841,290,0,0,1
396,1,4515,11991,9345,2644,3378,2213,0,0,1
397,0,11535,1666,1428,6838,64,743,0,0,1
398,0,11442,1032,582,5390,74,247,0,0,1
399,0,9612,577,935,1601,469,375,0,0,1
400,0,4446,906,1238,3576,153,1014,0,0,1
401,0,27167,2801,2128,13223,92,1902,0,0,1
402,0,26539,4753,5091,220,10,340,0,0,1
403,0,25606,11006,4604,127,632,288,0,0,1
404,0,18073,4613,3444,4324,914,715,0,0,1
405,0,6884,1046,1167,2069,593,378,0,0,1
406,0,25066,5010,5026,9806,1092,960,0,0,1
407,1,7362,12844,18683,2854,7883,553,0,0,1
408,1,8257,3880,6407,1646,2730,344,0,0,1
409,0,8708,3634,6100,2349,2123,5137,0,0,1
410,0,6633,2096,4563,1389,1860,1892,0,0,1
411,0,2126,3289,3281,1535,235,4365,0,0,1
412,0,97,3605,12400,98,2970,62,0,0,1
413,0,4983,4859,6633,17866,912,2435,0,0,1
414,0,5969,1990,3417,5679,1135,290,0,0,1
415,1,7842,6046,8552,1691,3540,1874,0,0,1
416,1,4389,10940,10908,848,6728,993,0,0,1
417,0,5065,5499,11055,364,3485,1063,0,0,1
418,1,660,8494,18622,133,6740,776,0,0,1
419,0,8861,3783,2223,633,1580,1521,0,0,1
420,0,4456,5266,13227,25,6818,1393,0,0,1
421,1,17063,4847,9053,1031,3415,1784,0,0,1
422,0,26400,1377,4172,830,948,1218,0,0,1
423,1,17565,3686,4657,1059,1803,668,0,0,1
424,1,16980,2884,12232,874,3213,249,0,0,1
425,0,11243,2408,2593,15348,108,1886,0,0,1
426,0,13134,9347,14316,3141,5079,1894,0,0,1
427,0,31012,16687,5429,15082,439,1163,0,0,1
428,0,3047,5970,4910,2198,850,317,0,0,1
429,0,8607,1750,3580,47,84,2501,0,0,1
430,0,3097,4230,16483,575,241,2080,0,0,1
431,0,8533,5506,5160,13486,1377,1498,0,0,1
432,0,21117,1162,4754,269,1328,395,0,0,1
433,0,1982,3218,1493,1541,356,1449,0,0,1
434,0,16731,3922,7994,688,2371,838,0,0,1
435,0,29703,12051,16027,13135,182,2204,0,0,1
436,0,39228,1431,764,4510,93,2346,0,0,1
437,1,14531,15488,30243,437,14841,1867,0,0,1
438,0,10290,1981,2232,1038,168,2125,0,0,1
439,0,2787,1698,2510,65,477,52,0,0,1
